Section 5;;;;;Area;Min Value;102;;Area;;;;;Min Feret Diameter;;;;;Mean Gray Value;;;;;
ROIs;Area [um^2];Mean Gray Value;Min Feret [um];;;Max Value;10.740;;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);Number of Positive Fibers;Percentage of Positive Fibers
228;3.563;3;65,131;;;;;;;;;;;;;;;;;;;;;
229;287;5;15,124;;;;;;;;;;;;;;;;;;;;;
230;946;4;20,467;;;;;;;;;;;;;;;;;;;;;
231;788;4;26,854;;;;;;;;;;;;;;;;;;;;;
232;3.196;3;55,38;;;;;;;;;;;;;;;;;;;;;
233;383;4;20,808;;;;;;;;;;;;;;;;;;;;;
234;349;7;15,412;;;;;;;;;;;;;;;;;;;;;
235;148;2;13,994;;;;;;;;;;;;;;;;;;;;;
236;2.844;2;54,872;;;;;;;;;;;;;;;;;;;;;
237;706;6;27,826;;;;;;;;;;;;;;;;;;;;;
238;2.673;4;54,205;;;;;;;;;;;;;;;;;;;;;
239;2.170;3;55,058;;;;;;;;;;;;;;;;;;;;;
240;3.458;2;55,509;;;;;;;;;;;;;;;;;;;;;
241;732;4;26,584;;;;;;;;;;;;;;;;;;;;;
242;1.267;4;39,962;;;;;;;;;;;;;;;;;;;;;
243;392;1;15,375;;;;;;;;;;;;;;;;;;;;;
244;2.502;6;48,977;;;;;;;;;;;;;;;;;;;;;
245;1.794;4;45,143;;;;;;;;;;;;;;;;;;;;;
246;2.980;4;45,823;;;;;;;;;;;;;;;;;;;;;
247;1.345;2;37,375;;;;;;;;;;;;;;;;;;;;;
248;1.571;4;33,153;;;;;;;;;;;;;;;;;;;;;
249;2.718;2;47,488;;;;;;;;;;;;;;;;;;;;;
250;1.339;5;29,753;;;;;;;;;;;;;;;;;;;;;
251;1.912;4;33,069;;;;;;;;;;;;;;;;;;;;;
252;194;3;12,444;;;;;;;;;;;;;;;;;;;;;
253;719;1;18,058;;;;;;;;;;;;;;;;;;;;;
254;2.862;4;55,351;;;;;;;;;;;;;;;;;;;;;
255;1.327;6;37,15;;;;;;;;;;;;;;;;;;;;;
256;3.983;3;66,947;;;;;;;;;;;;;;;;;;;;;
257;1.240;4;32,98;;;;;;;;;;;;;;;;;;;;;
258;488;3;23,39;;;;;;;;;;;;;;;;;;;;;
