fiber_id,area_px,centroid_x,centroid_y,perimeter_px,equiv_diameter_px,circularity,aspect_ratio,bbox_x,bbox_y,bbox_width,bbox_height
185,17923.00,4404.94,3040.16,600.16,151.06,0.63,1.01,4318,2948,175,173
186,17916.00,3527.89,3783.19,1182.05,151.03,0.16,0.92,3436,3694,189,205
187,17914.50,6883.12,4920.97,560.86,151.03,0.72,1.18,6806,4853,169,143
188,17809.00,5117.78,2164.02,595.33,150.58,0.63,1.19,5033,2093,172,145
189,17677.00,6390.39,6273.70,560.78,150.02,0.71,0.99,6310,6194,163,164
190,17609.00,3711.89,4223.03,579.67,149.73,0.66,1.18,3624,4148,185,157
191,17504.00,3818.79,6006.31,1608.47,149.29,0.09,0.46,3734,5839,161,349
192,17442.50,5410.36,6891.95,570.26,149.03,0.67,0.58,5352,6790,122,211
193,17403.50,7052.19,3948.87,611.51,148.86,0.58,1.02,6963,3864,181,177
194,17279.50,5553.07,5660.42,623.57,148.33,0.56,1.70,5433,5592,214,126
195,17274.00,4950.82,1847.90,1445.25,148.30,0.10,0.85,4810,1685,251,295
196,17268.00,3785.27,2791.19,597.67,148.28,0.61,0.68,3713,2689,132,193
197,17233.50,4029.62,2715.62,1230.24,148.13,0.14,1.12,3920,2632,212,189
198,17185.50,3418.16,2756.85,590.34,147.92,0.62,1.16,3321,2671,189,163
199,17176.00,2425.58,6684.91,614.44,147.88,0.57,1.46,2334,6615,197,135
200,17176.00,6080.61,3287.49,534.70,147.88,0.75,0.98,6004,3210,154,157
201,17101.00,7655.66,3886.59,618.30,147.56,0.56,0.71,7590,3794,141,199
202,17083.00,1607.65,8591.52,1609.98,147.48,0.08,1.09,1467,8446,289,265
203,16960.00,3664.92,5546.09,550.22,146.95,0.70,1.15,3579,5482,172,149
204,16958.00,6561.47,4777.99,557.19,146.94,0.69,1.07,6477,4697,164,153
205,16914.00,6877.22,2877.75,545.67,146.75,0.71,1.31,6784,2815,177,135
206,16904.50,3933.49,6700.11,574.74,146.71,0.64,1.02,3863,6614,173,170
207,16873.50,7400.91,3569.64,582.40,146.57,0.63,0.74,7337,3474,146,197
208,16873.00,4193.71,2559.85,703.84,146.57,0.43,0.91,4118,2465,171,187
209,16829.50,6915.14,4441.81,1612.03,146.38,0.08,1.00,6794,4312,257,258
210,16710.00,7047.20,3803.71,707.49,145.86,0.42,0.80,6960,3669,169,212
211,16656.00,5670.11,2282.54,553.39,145.63,0.68,1.39,5588,2219,186,134
212,16650.50,6203.81,7561.51,585.57,145.60,0.61,1.05,6115,7476,173,165
213,16594.00,5239.03,1850.23,926.89,145.36,0.24,0.72,5162,1721,166,231
214,16553.00,6659.13,7415.39,1016.57,145.18,0.20,0.86,6580,7323,168,196
215,16530.00,3055.67,5262.64,1303.17,145.07,0.12,0.74,2945,5129,238,322
216,16493.50,5469.47,5476.78,545.37,144.91,0.70,0.72,5402,5385,136,189
217,16467.00,7032.28,3081.77,593.59,144.80,0.59,0.58,6966,2976,124,214
218,16421.50,4034.94,4644.65,522.94,144.60,0.75,0.81,3967,4554,140,173
219,16370.50,4061.50,2177.93,600.88,144.37,0.57,0.71,3999,2081,137,194
220,16368.50,3497.04,2099.84,611.71,144.36,0.55,0.73,3431,2006,149,205
221,16352.50,5926.80,4791.99,1330.30,144.29,0.12,0.83,5828,4666,187,225
222,16350.00,6815.90,2738.39,605.67,144.28,0.56,0.60,6766,2646,127,213
223,16348.50,6326.43,3564.71,1474.20,144.28,0.09,1.69,6166,3465,305,180
